,Customer ID,Age,Gender,Item Purchased,Review Rating,Location,Review Rating,Payment Method,Previous Purchases,Income,ServiceQuality,FeedbackScore,LoyaltyLevel,SatisfactionScore,Product_ID,Purchase_Frequency,Average_Spending_Value,Most_Frequent_Category,Retention_Strategy,Churn_Probability,Lifetime_Value,Season
0,1,55,Male,Blouse,3.1,Kentucky,3.1,Credit Card,14,83094,8,Low,Bronze,100.0,PROD_IK97D1,17,172.57,Electronics,Loyalty Program,0.98,952.81,Winter
1,2,19,Male,Sweater,3.1,Maine,3.1,Bank Transfer,2,86860,2,Medium,Gold,100.0,PROD_UNN7KP,10,64.89,Clothing,Discount,0.66,5427.51,Spring
2,3,50,Male,Jeans,3.1,Massachusetts,3.1,Cash,23,60173,10,Medium,Silver,100.0,PROD_0XEW2W,3,120.38,Sports,Loyalty Program,0.6,3994.8,Winter
3,4,21,Male,Sandals,3.5,Rhode Island,3.5,PayPal,49,73884,10,Low,Gold,100.0,PROD_3IIAJN,12,70.34,Clothing,Discount,0.78,4880.01,Spring
4,5,45,Male,Blouse,2.7,Oregon,2.7,Cash,31,97546,4,Low,Bronze,82.0,PROD_VMIWD2,18,42.39,Electronics,Discount,0.52,8557.7,Spring
5,6,46,Male,Sneakers,2.9,Wyoming,2.9,Venmo,14,49364,7,High,Silver,80.71,PROD_L0NAD5,12,132.9,Electronics,Loyalty Program,0.25,8215.33,Winter
6,7,63,Male,Shirt,3.2,Montana,3.2,Debit Card,49,39716,6,High,Silver,100.0,PROD_CVVCB0,16,128.43,Clothing,Email Campaign,0.94,7031.07,Summer
7,8,27,Male,Shorts,3.2,Louisiana,3.2,Debit Card,19,45305,10,Medium,Gold,100.0,PROD_PVOV5L,10,67.52,Electronics,Discount,0.56,5167.16,Summer
8,9,26,Male,Coat,2.6,West Virginia,2.6,Venmo,8,98001,2,High,Bronze,100.0,PROD_MG36BV,7,165.26,Electronics,Loyalty Program,0.17,9943.51,Winter
9,10,57,Male,Handbag,4.8,Missouri,4.8,PayPal,4,85307,4,High,Gold,86.48,PROD_DKK6UZ,6,52.86,Home,Loyalty Program,0.59,9978.11,Winter
10,11,53,Male,Shoes,4.1,Arkansas,4.1,Credit Card,26,46732,3,High,Gold,94.6,PROD_ALVKE7,8,138.72,Electronics,Loyalty Program,0.45,2758.76,Fall
11,12,30,Male,Shorts,4.9,Hawaii,4.9,PayPal,10,38742,6,Medium,Silver,81.85,PROD_K192VJ,13,54.53,Electronics,Email Campaign,0.73,9395.6,Fall
12,13,61,Male,Coat,4.5,Delaware,4.5,PayPal,37,30028,6,Medium,Bronze,95.99,PROD_2Y2RID,5,172.68,Electronics,Email Campaign,0.86,6589.81,Spring
13,14,65,Male,Dress,4.7,New Hampshire,4.7,Debit Card,31,58353,8,Medium,Bronze,100.0,PROD_M35YA3,18,30.56,Clothing,Loyalty Program,0.55,1005.72,Summer
14,15,64,Male,Coat,4.7,New York,4.7,PayPal,34,75657,8,Medium,Silver,100.0,PROD_ELE4RZ,18,95.85,Electronics,Discount,0.34,6299.37,Spring
15,16,64,Male,Skirt,2.8,Rhode Island,2.8,Credit Card,8,59164,5,Medium,Silver,52.34,PROD_IBLABI,10,108.6,Home,Loyalty Program,0.89,7317.6,Summer
16,17,25,Male,Sunglasses,4.1,Alabama,4.1,Venmo,44,73887,4,Medium,Silver,73.48,PROD_P2DMGE,10,139.31,Sports,Email Campaign,0.78,6578.3,Winter
17,18,53,Male,Dress,4.7,Mississippi,4.7,Debit Card,36,63522,3,High,Gold,86.31,PROD_JLOC27,3,141.64,Home,Email Campaign,0.2,5902.92,Spring
18,19,52,Male,Sweater,4.6,Montana,4.6,Bank Transfer,17,88593,9,High,Bronze,100.0,PROD_2EQ5LO,18,39.17,Clothing,Loyalty Program,0.69,5264.38,Fall
19,20,66,Male,Pants,3.3,Rhode Island,3.3,Venmo,46,37901,5,Low,Gold,85.16,PROD_XFBU9X,18,139.37,Sports,Loyalty Program,0.42,9127.85,Winter
20,21,21,Male,Pants,2.8,Louisiana,2.8,Credit Card,50,41595,4,High,Gold,69.85,PROD_2E3MNX,17,105.73,Sports,Email Campaign,0.66,194.59,Spring
21,22,31,Male,Pants,4.1,North Carolina,4.1,Credit Card,22,95043,2,High,Bronze,92.23,PROD_R1Y19O,14,93.03,Sports,Email Campaign,0.78,3845.95,Summer
